"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg GAP","Avg HR","Max HR","Total Ascent","Total Descent","Avg Power","Avg W/kg","Max Power","Max W/kg","Avg Run Cadence","Avg Ground Contact Time","Avg GCT Balance","Avg Stride Length","Avg Vertical Oscillation","Avg Vertical Ratio","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","5:00","5:00","0.28","17:59","--","96","101","--","--","--","--","--","--","117","--","--","0.76","--","--","20","--","12:43","123","5:00","17:59"
"2","10:00","15:00","0.71","14:00","--","133","140","--","--","--","--","--","--","165","--","--","0.70","--","--","82","--","12:17","169","10:00","14:00"
"3","2:33.3","17:33","0.25","10:17","--","157","163","--","--","--","--","--","--","173","--","--","0.91","--","--","26","--","10:12","179","2:33","10:16"
"4","3:00","20:33","0.15","20:07","--","129","160","2","--","--","--","--","--","119","--","--","0.67","--","--","20","--","10:20","171","3:00","20:07"
"5","2:25.4","22:59","0.25","9:45","--","148","162","--","--","--","--","--","--","172","--","--","0.96","--","--","21","--","9:16","183","2:25","9:43"
"6","3:00","25:59","0.17","17:48","--","125","161","--","--","--","--","--","--","120","--","--","0.75","--","--","17","--","10:01","175","3:00","17:48"
"7","2:27.3","28:26","0.25","9:53","--","148","162","--","--","--","--","--","--","174","--","--","0.93","--","--","21","--","9:08","183","2:27.3","9:53"
"8","3:00","31:26","0.17","18:04","--","131","161","--","--","--","--","--","--","120","--","--","0.74","--","--","19","--","10:29","175","3:00","18:04"
"9","2:26.7","33:53","0.25","9:50","--","149","169","--","3","--","--","--","--","177","--","--","0.92","--","--","21","--","8:26","233","2:26.7","9:50"
"10","3:00","36:53","0.16","18:19","--","129","168","--","--","--","--","--","--","120","--","--","0.73","--","--","17","--","9:41","181","3:00","18:19"
"11","10:00","46:53","0.69","14:31","--","140","150","3","--","--","--","--","--","163","--","--","0.68","--","--","76","--","12:33","171","10:00","14:31"
"12","5:00","51:53","0.25","20:17","--","111","145","--","--","--","--","--","--","113","--","--","0.70","--","--","12","--","14:49","165","5:00","20:17"
"13","0:01.2","51:54","0.00","13:21","--","105","105","--","--","--","--","--","--","98","--","--","1.23","--","--","0","--","25:27","98","0:01","11:02"
"Summary","51:54","51:54","3.57","14:32","","131","169","6","3","","","","","147","","","0.75","","","352","","8:26","233","51:53","14:32"